Date, Close/Last, Volume, Open, High, Low
10/25/2019, $1.4056, 1126, $1.34, $1.42, $1.34
10/24/2019, $1.426, 123, $1.426, $1.426, $1.426
10/23/2019, $1.379, 698, $1.38, $1.3864, $1.36
10/22/2019, $1.3734, 2603, $1.42, $1.42, $1.32
10/21/2019, $1.42, 22286, $1.32, $1.42, $1.32
10/18/2019, $1.32, 1191, $1.1658, $1.32, $1.1658
10/17/2019, $1.32, 2566, $1.4, $1.4, $1.304
10/16/2019, $1.36, 4108, $1.3934, $1.4, $1.3042
10/15/2019, $1.42, 16423, $1.3, $1.42, $1.1702
10/14/2019, $1.4002, 5036, $1.42, $1.42, $1.3
10/11/2019, $1.4, 2946, $1.387, $1.4132, $1.38
10/10/2019, $1.387, 1461, $1.42, $1.44, $1.3802
10/09/2019, $1.42, 120, $1.42, $1.42, $1.42
10/08/2019, $1.451, 5935, $1.387, $1.453, $1.38
10/07/2019, $1.42, 470, $1.3998, $1.42, $1.3998
10/04/2019, $1.4107, 19058, $1.36, $1.48, $1.32
10/03/2019, $1.4798, 599, $1.4926, $1.5, $1.419
10/02/2019, $1.42, 4620, $1.396, $1.46, $1.38
10/01/2019, $1.48, 9558, $1.327, $1.5, $1.327
09/30/2019, $1.42, 3821, $1.4329, $1.4355, $1.3876
09/27/2019, $1.49, 2259, $1.44, $1.49, $1.44
09/26/2019, $1.5, 15882, $1.56, $1.64, $1.4
09/25/2019, $1.5598, 393, $1.56, $1.56, $1.46
09/24/2019, $1.5598, 491, $1.56, $1.56, $1.46
09/23/2019, $1.52, 887, $1.44, $1.5796, $1.44
09/20/2019, $1.5796, 232, $1.554, $1.58, $1.554
09/19/2019, $1.5982, 611, $1.5955, $1.5982, $1.52
09/18/2019, $1.5998, 603, $1.444, $1.5998, $1.444
09/17/2019, $1.6192, 12191, $1.4944, $1.62, $1.4944
09/16/2019, $1.4346, 1194, $1.42, $1.52, $1.42
09/13/2019, $1.5126, 9106, $1.4674, $1.5198, $1.44
09/12/2019, $1.5195, 7192, $1.4802, $1.52, $1.48
09/11/2019, $1.5482, 1999, $1.43, $1.5552, $1.4
09/10/2019, $1.58, 5646, $1.574, $1.58, $1.574
09/09/2019, $1.5539, 3118, $1.5, $1.575, $1.5
09/06/2019, $1.52, 5959, $1.5078, $1.6124, $1.5078
09/05/2019, $1.575, 1799, $1.5, $1.66, $1.5
09/04/2019, $1.56, 1388, $1.692, $1.692, $1.56
09/03/2019, $1.6116, 965, $1.6212, $1.6212, $1.6116
08/30/2019, $1.4826, 3193, $1.66, $1.66, $1.382
08/29/2019, $1.38, 158, $1.38, $1.38, $1.38
08/28/2019, $1.64, 11450, $1.5, $1.66, $1.32
08/27/2019, $1.6078, 5443, $1.68, $1.7, $1.46
08/26/2019, $1.62, 235, $1.62, $1.62, $1.62
08/23/2019, $1.6, 1174, $1.62, $1.62, $1.6
08/22/2019, $1.6368, 3494, $1.68, $1.68, $1.6
08/21/2019, $1.6602, 710, $1.5502, $1.6602, $1.5502
08/20/2019, $1.6598, 3007, $1.66, $1.68, $1.64
08/19/2019, $1.68, N/A, $1.68, $1.68, $1.68
08/16/2019, $1.68, 1201, $1.68, $1.68, $1.66
08/15/2019, $1.6378, 1292, $1.5, $1.6378, $1.5
08/14/2019, $1.4874, 2729, $1.6134, $1.6134, $1.4874
08/13/2019, $1.7, N/A, $1.7, $1.7, $1.7
08/12/2019, $1.7, 310, $1.7, $1.7, $1.7
08/09/2019, $1.7297, 544, $1.7, $1.7297, $1.7
08/08/2019, $1.6802, N/A, $1.6802, $1.6802, $1.6802
08/07/2019, $1.6802, 2047, $1.6802, $1.6802, $1.68
08/06/2019, $1.6204, N/A, $1.6204, $1.6204, $1.6204
08/05/2019, $1.6204, 421, $1.8, $1.8, $1.6204
08/02/2019, $1.6532, 325, $1.6082, $1.6532, $1.6082
08/01/2019, $1.7968, 271, $1.6419, $1.7968, $1.6419
07/31/2019, $1.783, 1135, $1.78, $1.783, $1.78
07/30/2019, $1.78, 1905, $1.78, $1.78, $1.78
07/29/2019, $1.8, 122, $1.8, $1.8, $1.8
07/26/2019, $1.76, 512, $1.64, $1.76, $1.64
07/25/2019, $1.7432, 170, $1.72, $1.77, $1.72
07/24/2019, $1.6404, 155, $1.6404, $1.6404, $1.6404
07/23/2019, $1.7798, 1005, $1.8, $1.8, $1.62
07/22/2019, $1.8, 373, $1.641, $1.8, $1.641
07/19/2019, $1.6802, 5159, $1.6424, $1.6802, $1.64
07/18/2019, $1.72, 228, $1.72, $1.72, $1.72
07/17/2019, $1.7534, N/A, $1.7534, $1.7534, $1.7534
07/16/2019, $1.7534, 305, $1.745, $1.7534, $1.67
07/15/2019, $1.6534, 1215, $1.64, $1.6534, $1.64
07/12/2019, $1.74, 7344, $1.7524, $1.7524, $1.7157
07/11/2019, $1.669, 8956, $1.6613, $1.669, $1.66
07/10/2019, $1.6684, 3631, $1.8053, $1.82, $1.64
07/09/2019, $1.7, N/A, $1.7, $1.7, $1.7
07/08/2019, $1.7, 139, $1.7, $1.7, $1.7
07/05/2019, $1.6804, 1127, $1.66, $1.6804, $1.66
07/03/2019, $1.6733, 344, $1.76, $1.7939, $1.6733
07/02/2019, $1.6586, 1644, $1.65, $1.7798, $1.65
07/01/2019, $1.68, 385, $1.7064, $1.7348, $1.68
06/28/2019, $1.8166, 2362, $1.6652, $1.82, $1.65
06/27/2019, $1.7, 3656, $1.64, $1.7, $1.64
06/26/2019, $1.758, 917, $1.7577, $1.758, $1.74
06/25/2019, $1.73, 711, $1.64, $1.73, $1.64
06/24/2019, $1.7916, 346, $1.745, $1.7916, $1.745
06/21/2019, $1.7284, 237, $1.7284, $1.7284, $1.7284
06/20/2019, $1.783, 131, $1.8038, $1.8038, $1.783
06/19/2019, $1.7388, 2118, $1.6346, $1.7388, $1.62
06/18/2019, $1.7688, 1759, $1.7668, $1.8, $1.6684
06/17/2019, $1.86, N/A, $1.86, $1.86, $1.86
06/14/2019, $1.86, 432, $1.76, $1.86, $1.6254
06/13/2019, $1.8484, 2608, $1.82, $1.8484, $1.82
06/12/2019, $1.84, 270, $1.8547, $1.8547, $1.8116
06/11/2019, $1.86, 648, $1.7, $1.86, $1.7
06/10/2019, $1.68, 4926, $1.6966, $1.6998, $1.62
06/07/2019, $1.8, 3928, $1.86, $1.86, $1.8
06/06/2019, $1.8, 2244, $1.76, $1.8, $1.76
06/05/2019, $1.72, 2541, $1.7, $1.76, $1.7
06/04/2019, $1.7, 77, $1.7, $1.7, $1.7
06/03/2019, $1.74, 1494, $1.7, $1.78, $1.7
05/31/2019, $1.78, 386, $1.72, $1.78, $1.71
05/30/2019, $1.72, 6084, $1.7, $1.7546, $1.7
05/29/2019, $1.7286, 706, $1.7, $1.8, $1.7
05/28/2019, $1.76, 2617, $1.76, $1.76, $1.713
05/24/2019, $1.8198, 226, $1.8198, $1.8198, $1.8198
05/23/2019, $1.82, 2064, $1.7998, $1.82, $1.7298
05/22/2019, $1.74, 2579, $1.7516, $1.759, $1.7
05/21/2019, $1.7, 3597, $1.7174, $1.7174, $1.6946
05/20/2019, $1.78, 630, $1.76, $1.78, $1.7
05/17/2019, $1.8146, 4318, $1.8314, $1.8602, $1.63
05/16/2019, $1.82, 12229, $1.88, $1.9, $1.6
05/15/2019, $1.88, 10305, $1.88, $1.88, $1.7804
05/14/2019, $1.86, 11963, $1.84, $1.88, $1.7802
05/13/2019, $1.8996, 9111, $2.0004, $2.0004, $1.7673
05/10/2019, $2, 1264, $2.02, $2.02, $1.92
05/09/2019, $2.016, 374, $2.016, $2.016, $2.016
05/08/2019, $2.04, 1466, $2, $2.0504, $2
05/07/2019, $2.12, 15663, $2.08, $2.12, $1.8908
05/06/2019, $2.074, 1947, $2.06, $2.1244, $2.0392
05/03/2019, $2.12, 2025, $1.9956, $2.12, $1.9956
05/02/2019, $2.08, 328, $2.08, $2.08, $2.08
05/01/2019, $2.02, 2906, $2.06, $2.06, $2.02
04/30/2019, $2.0642, 1796, $2.06, $2.14, $2.06
04/29/2019, $2.1, 7219, $2.24, $2.24, $2.09
04/26/2019, $2.18, 3148, $2.1966, $2.1966, $2.06
04/25/2019, $2.16, 452, $2.1, $2.18, $2.1
04/24/2019, $2.1232, 1262, $2.14, $2.14, $2.06
