Date, Close/Last, Volume, Open, High, Low
06/10/2019, $111.76, 4346076, $111.02, $113.66, $111
06/07/2019, $109.81, 2581378, $109.1, $110.6499, $109.03
06/06/2019, $108.89, 2478227, $109.1, $109.63, $107.66
06/05/2019, $109.14, 4789164, $111.63, $111.75, $107.35
06/04/2019, $111.43, 4998567, $108.46, $112.32, $107.11
06/03/2019, $107.78, 5739914, $109.76, $110.26, $106.8
05/31/2019, $110, 5167256, $110, $111.14, $108.75
05/30/2019, $111.82, 4006691, $112.37, $113.1878, $111.03
05/29/2019, $112.95, 5168662, $113.2, $114, $112.08
05/28/2019, $114.14, 4576573, $115.01, $115.57, $113.9249
05/24/2019, $114.47, 4902873, $114.55, $115.87, $114.04
05/23/2019, $113.46, 7085772, $115.3, $115.77, $113.3
05/22/2019, $118.4, 5411219, $120.8, $121.15, $116.78
05/21/2019, $120.49, 9091570, $119.22, $121.12, $118.16
05/20/2019, $117.55, 18045170, $123.23, $123.27, $117.16
05/17/2019, $128.31, 29287230, $130.53, $134.13, $126.91
05/16/2019, $153.7, 4935395, $153.31, $155.454, $152.02
05/15/2019, $152.5, 3072585, $151.73, $153.54, $150.88
05/14/2019, $152.39, 3579705, $153.08, $153.78, $151.36
05/13/2019, $151.54, 5324744, $151.63, $153.8, $150.02
05/10/2019, $156.75, 3210112, $158, $158.99, $154.69
05/09/2019, $158.7, 4238750, $156.35, $159.65, $153.87
05/08/2019, $159.58, 4665536, $161.6, $161.6, $158.6001
05/07/2019, $162.13, 2954725, $162.9, $163.22, $160.6
05/06/2019, $164.5, 3303306, $161, $164.77, $160
05/03/2019, $167.04, 2232555, $167.4, $168.34, $166.55
05/02/2019, $166.24, 1856832, $165.76, $167.65, $164
05/01/2019, $165.42, 1905068, $166.58, $168.63, $165.37
04/30/2019, $166.23, 2586485, $164.68, $166.57, $162.2
04/29/2019, $165.85, 2981346, $167, $168.56, $164.9
04/26/2019, $166.12, 3697264, $167.85, $167.86, $163.98
04/25/2019, $167.93, 2929146, $169, $169.07, $166.44
04/24/2019, $169.3, 3240632, $174, $174.2582, $169.1
04/23/2019, $173.29, 2776873, $170, $174.12, $168.82
04/22/2019, $169.37, 2074102, $170, $170.19, $167.5
04/18/2019, $171.02, 1963500, $171, $172.2, $169.12
04/17/2019, $170.33, 2726239, $172.19, $172.4, $169.8
04/16/2019, $170.28, 2117832, $170, $171.46, $168.88
04/15/2019, $168.67, 3687910, $172.2, $172.26, $167.4
04/12/2019, $173.09, 3241051, $173.6, $173.89, $170.78
04/11/2019, $171.2, 3916692, $176.5, $176.64, $171.14
04/10/2019, $177.04, 4082394, $179.19, $179.55, $175.56
04/09/2019, $181, 3012354, $185, $185.6, $180.54
04/08/2019, $184.77, 3912125, $181.55, $186.22, $180.39
04/05/2019, $181.55, 2925040, $181.33, $182.47, $179.8
04/04/2019, $179.13, 3958838, $176.92, $180.73, $175.14
04/03/2019, $174.91, 3722349, $173.05, $176.93, $172.26
04/02/2019, $170.98, 2519585, $170.41, $174.15, $168.883
04/01/2019, $170.4, 4654486, $168.07, $171.4, $166.92
03/29/2019, $164.85, 2695018, $165.65, $166, $163.46
03/28/2019, $164.11, 1711806, $165, $165.36, $162.73
03/27/2019, $164.29, 2598793, $167.36, $167.985, $164.18
03/26/2019, $167.2, 1811599, $167, $169.86, $166.5848
